ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets
1.9347452353,2.9455459888,2.9861174505,0.0678964014,514
2.3403339594,3.6965582922,2.3937297909,0.2388114987,376
2.2888984936,3.3869826898,2.6163355173,0.1168497609,1056
1.872419222,3.0501772301,1.7222135104,0.0995771587,1161
2.677849632,3.8935763686,2.3500738371,0.0940833785,833
1.5666849136,3.7069566387,1.9888322108,0.0561732992,2035
3.0745519912,3.8847834957,3.1229460386,0.1860161764,1148
2.6952282029,3.3447839556,1.8983787088,0.1526407703,801
2.2219875562,4.1957803566,1.8417122371,0.010772538,4310
2.1417249973,3.8613534012,1.8569883783,0.0292962603,2292
1.3878596953,2.87680766,2.0712541374,0.022043283,1939
1.9334060984,2.8108531839,1.8748365001,0.0939820207,1502
2.3835398117,3.794302857,3.0675830444,0.0512237829,2615
2.4386401402,4.2002445722,2.1050055747,0.0341255247,5958
1.6198624488,3.9099479044,1.8453845304,0.0038889097,3422
1.764018209,3.9388583772,2.0280174451,0.0240991388,3420
2.4544078413,2.9685163133,2.0853230264,0.232229898,333
1.9751448305,2.2278181532,2.07092002,0.1545556764,451
2.4773256902,3.5704122408,3.059878995,0.1564910629,235
2.3537596625,3.3122526942,2.4095827721,0.1930057949,496
2.1312978509,3.6008019123,2.382115497,0.0598535304,2362
2.1103096806,2.5910936096,2.6345090119,0.1524069989,137
2.3994445446,3.609968345,2.5957552737,0.1069950999,480
1.5060382958,2.2010468999,1.3141364896,0.2108423003,303
1.9221633846,3.1896936955,3.0035539844,0.0813813444,902
1.9110647412,2.1343326006,1.7978859403,0.1377319925,540
1.5767803177,2.2347678879,2.2785292481,0.0509205533,384
0.890474058,1.9986539056,1.2104637005,0,2359
2.0201266795,2.3308958523,2.1013938582,0,127
2.0388438247,3.318036667,3.2970151947,0,366
1.8808059304,3.2144456377,2.6504475769,0,221
2.1165265628,2.9470576496,1.873671312,0,669
1.3970904678,3.2396449854,1.7916002564,0.0268028222,5605
1.6489319785,3.5276574474,1.7923113813,0.0313091281,1594
2.045002102,3.4900443455,2.0122108227,0.0598088161,1491
1.9998783533,3.1482719045,1.9553158834,0.0442392235,688
1.1168774218,2.6658856665,1.4816575052,0.02956767,1495
1.6002117826,3.5494820985,2.9573098817,0.0369356069,1043
1.4207921776,2.9111142832,2.0227596015,0.0335168085,604
2.3781888595,3.5245186355,3.0049089069,0.0680103064,533
1.9887400787,3.8129156943,2.1343161348,0.0654207944,1600
1.6623192501,3.2759464082,2.963144703,0.0170021105,692
1.6385163559,3.0104888049,2.4372917437,0,268
1.5170772119,1.5935953636,1.5203518742,0.1168497609,527
2.2504329387,2.8964034079,3.2230443711,0.4118393962,175
2.5363361323,3.0509801945,3.0351155571,0.3620512517,156
2.0320079249,2.7728510137,2.3529488177,0.120681014,294
1.2598041179,3.0101087554,1.768165154,0,1977
2.0938925633,2.370504695,2.4147192772,0.3372900666,70
2.0544723596,2.4162015358,1.9796354729,0.1235307101,253
2.1868714222,2.5878568525,2.4632046015,0.2580186687,72
2.6439354903,2.761678817,2.665948568,0.4199210974,131
2.4080978168,4.3756637483,2.1455267847,0.0806574066,2600
2.8088545653,3.6729689522,1.9668603863,0.0468504665,4297
2.3336043104,3.6267122006,1.8115119722,0.0512279072,697
2.9322096039,3.7477785646,2.9862589593,0.4230488157,107
2.8307273853,4.2166781403,3.2022235505,0.1294977264,809
2.3157084698,3.3592929291,3.0533786021,0,144
1.6266068569,1.5072464678,1.456792736,0.512709142,80
2.4549281735,3.0975530006,2.9486228234,0.1239498677,182
2.4247037927,3.3308814189,2.5443226617,0.0885647516,425
2.1536175733,3.5318343015,2.2186044874,0.0460936556,2766
2.147048909,3.6527383366,2.2063776917,0.064288283,1608
2.58912865,3.7608383096,3.1728017478,0.1199641249,1386
1.2228482216,3.5119901183,1.8815341981,0.0196477009,2721
2.4119486348,3.6687444206,2.2832470261,0,790
2.4702194221,3.3977992481,3.3147962099,0,150
2.5629958239,3.5728199998,2.2188547591,0,527
2.9439690805,4.016941217,3.0619490983,0,1627
0.9450435548,2.9200967059,1.3810019933,0,5076
2.3370759846,3.8393358176,2.3721467775,0.1068934611,2595
2.2497181405,4.139207538,2.2957185557,0.0313804505,2220
1.8701007133,2.2468193091,1.6413923788,0.161721231,636
2.6035600191,3.8530738068,2.8236952416,0.2146887357,518
2.6416263982,3.8232291179,2.7066546004,0.0231424533,464
2.3717619572,3.4979354377,3.5637789704,0.1888821089,198
1.4903364813,3.17033851,2.2056506074,0,1245
2.3379378762,3.37140112,2.3223843984,0,420
1.6940876949,3.3463847225,2.6467459649,0.1046422504,1895
1.8917283483,3.9249970305,2.0442632341,0.0271874639,5872
2.449894605,3.4121776559,1.9224753233,0.2000195644,280
2.449147311,3.6279118564,2.7145526252,0.0691488719,637
1.4481962856,3.2160994458,1.9043141422,0.0218227753,1935
2.2208113071,2.931221781,1.966148171,0.0833167038,496
2.6416345135,3.7246130652,2.8200809872,0.2128588718,597
2.014501692,3.5566398216,2.0611092184,0.0556223658,2218
2.6135864547,2.6851128436,2.4259881192,0.3173238998,108
2.2190323973,3.2805282221,2.9873238928,0,221
1.9745935574,3.3318948359,2.8383330602,0.0533614339,701
1.9639336744,3.7050858002,2.2385880936,0.0401304843,1904
1.9879091623,3.7703188571,1.7572305128,0.0127138176,5360
1.8273765657,3.7979741373,1.6538622995,0.0455452547,1131
1.3784751075,2.4880503557,1.5639745012,0,591
1.6577222544,3.302726993,2.2776480323,0,902
1.5809207443,2.7020413512,1.7923508373,0.1005308777,345
2.4769368149,3.5185054844,3.2898368815,0,307
1.3733587685,3.3773288426,2.2463798536,0.0743565043,944
1.7185336862,3.3186954356,1.7219780353,0.0214050968,1942
1.4580719626,2.9979205495,2.133794242,0.0865042141,568
1.602215501,2.8511080253,2.6883646919,0.102891739,455
2.031348914,2.9458117558,2.7408351169,0.0561448511,657
2.0263992801,3.5256432344,2.4929279209,0,977
2.2651812273,3.5002321197,2.516465295,0,554
1.775649783,2.430448349,1.926996013,0,520
1.7497495998,3.2949073153,2.8306126285,0,571
0.9737622163,3.0551977422,1.5449080241,0,5798
2.452876604,2.9598652178,2.580452855,0,197
1.572997769,3.2970225741,2.1420122598,0,2018
1.8232667663,3.4372595245,1.8381715658,0.0458806817,7457
2.1563886714,2.5117113358,1.9588051298,0.1858477367,563
2.4262731433,2.9206258302,2.4285468923,0.0950172457,268
2.0520297166,3.7386903424,2.2379551177,0.0552971964,4450
2.0423946897,3.3054509949,2.0803678367,0.0216751094,987
1.3823330161,3.3450481444,2.1107554683,0.0372355022,3586
2.4856012859,3.7188110037,3.0308618838,0.0653509293,829
2.5192650206,4.1146043946,2.4090504032,0.0655556056,3350
2.4989475641,3.760677214,2.6214061039,0.1332355844,1300
2.9366886957,4.1704005073,2.6298844599,0.1160178777,1944
2.8305012499,3.7056942894,2.4159366184,0.2187537458,804
2.7656016247,3.5853748105,3.1255107863,0.1152876716,493
1.9459085063,3.4665294991,2.6520196055,0,720
2.285785687,3.3682867561,2.1806773273,0,996
2.0379329782,3.2132646646,2.9788084056,0,302
1.2837913432,1.467734743,1.4371351112,0.0584274556,314
2.6598552657,3.3494937045,2.918679664,0.1537421803,119
2.6801795456,2.5609639707,2.3727177022,0.5522436412,163
2.7056351217,2.7305155352,2.4127625869,0.2713895875,179
2.6835428469,3.4032965616,2.9762197437,0.1792560669,282
1.7625458303,2.735824395,2.4786924518,0.1293491088,904
1.7322734939,3.4564881825,1.4749459156,0.0320430626,4852
2.3533309435,2.889209437,3.0148953759,0.1863496839,202
2.1382141043,2.9898712568,3.2044166054,0.1388723773,346
1.9181414856,3.9245880072,2.2797599934,0.0526423609,6757
2.4103210995,3.1352632896,2.3205617917,0.1195477095,1284
2.1055821796,3.2240109623,2.6997933118,0.1418448726,1031
2.5908586037,2.9447690793,3.2044308264,0.3717776953,250
2.5202154114,2.8067955423,3.0307424759,0.2784097814,256
2.5115758167,3.3686975099,3.3592151951,0.061161775,869
2.1896382364,3.0197545762,2.847180543,0.1954005767,641
1.7216798219,3.1468825029,1.9205148361,0.0209041142,2047
1.933547178,3.3288754307,2.815245327,0,916
2.0187735378,3.1427196937,3.0886664656,0,635
2.1111945038,2.6513411404,2.9742298357,0,188
2.6583501968,3.3769781016,2.4043593602,0,636
2.3859386068,2.7705473123,2.9889442176,0,288
2.3574156444,2.6334296436,2.7089647085,0,217
2.4800334463,3.047631662,3.2917708017,0.2897588102,318
1.9976091776,3.0880984163,2.6852860378,0.0859949043,847
2.2703100708,3.427754167,2.6389348818,0.0848109813,1531
1.5025718166,3.5522451166,1.6786900885,0,1433
2.2813848618,2.928862884,3.2181021217,0,223
2.3774104699,2.8823798496,2.8021823076,0.1145588992,643
2.3940876857,3.5570071653,2.8065564376,0.0823728148,1175
2.2592191242,3.668706639,2.5327830805,0.0255403921,1589
1.9985586271,3.3728442343,2.3141038571,0.0991064829,1112
1.2080637761,3.4580260942,2.2452916542,0.0098645537,4755
2.7392465755,3.5732114759,3.4286603996,0.2379771513,555
1.599094361,3.1225015251,2.04571929,0.0339267381,4007
2.1095762201,3.964914968,2.5230111641,0.0677121836,3965
1.8026118671,3.8526752588,2.7426013133,0.0519926274,4177
2.9775708925,2.9835618326,3.0880640472,0.5113104264,250
1.9237532182,3.45709238,2.7236614386,0,895
1.9928974432,3.329357851,2.8065695769,0.0170722795,1299
1.3558245854,3.1744265972,1.9607808665,0.044029786,1711
1.9928086959,3.5891428272,2.7544177599,0,858
1.633816048,3.2190286869,1.7382363216,0.0222651548,5558
2.3897745327,3.4729009733,2.451749744,0.1285289438,752
1.7909071461,2.7828683806,1.5226891167,0.0290616698,2739
1.9039596978,2.5158150923,2.8176876431,0,164
1.990752524,2.2952506216,2.1341097735,0.0920939328,816
2.4629022543,3.1206068486,3.1310374518,0.0282624091,409
1.711978431,2.9101732382,2.4198732606,0.0799195851,616
1.3437265751,1.4460699352,1.16150532,0.0187605792,582
1.8198435645,2.2894851231,1.3850183831,0.0226588714,934
2.7411098871,3.8469284457,1.9635930832,0.0435183081,4247
1.4786292767,2.8512509819,1.1595825494,0.024144964,5517
1.9189428926,2.1480594914,1.677097756,0.0900165702,761
2.5400635312,3.8187287892,2.7558931732,0.0100645557,2316
2.1653848224,3.6922117046,1.9261808078,0.0061389981,2047
2.7036340176,4.0386877879,2.2402386452,0,1668
2.4273673556,2.6775930443,1.3592837409,0,956
2.3497901196,2.9011732133,2.2705160877,0,606
2.6081348849,3.1620930053,3.0014262474,0,353
2.0540798092,3.1263266937,3.1474626085,0,173
2.0893717076,3.6696110333,2.5168121772,0.0512830244,1921
2.3489687097,3.8171846848,3.2485504489,0.066561037,1553
1.6497139572,3.2396928524,2.2659532025,0,832
2.0957536715,3.444707106,1.7852509227,0.0289832741,3024
2.4809818522,3.3951341756,3.1576180543,0.1603287259,314
2.2034054887,3.0393238694,2.8968927958,0.0682010701,741
2.3630324999,3.5678907529,3.2276322999,0.1641193364,512
2.0914940597,3.2907320061,2.6326387294,0.0644063856,1078
2.0980122579,3.2650801937,1.9094450519,0.0266389803,9037
2.8310185452,3.1874391169,2.3445472317,0.0829533743,1207
2.2095970962,3.1456905852,2.7701147528,0,455
1.5851601705,2.6499451062,2.281136006,0.0963332245,647
2.2357499437,3.5060185613,2.5984920049,0.0999893789,871
1.7426426583,3.0340936281,2.3950773964,0.0373068278,2548
2.3289606846,3.5970277207,3.1721972505,0.1159329752,546
1.5507754947,3.1775221243,1.9960579417,0.0276725226,1478
1.4073412316,2.6270504841,1.8694361697,0.0625916975,2915
1.9063479459,3.245228098,2.6084532156,0.0461924401,1178
2.1294141637,3.2990998288,2.9126444232,0.0956503805,499
2.2408145297,2.7079300356,2.693080326,0,115
2.2682572206,3.7501627082,2.8884323857,0.057183049,2460
2.9239366203,3.765116262,2.538436474,0.0617224454,2140
2.266712459,3.3494904075,2.8240203632,0.2132471803,789
2.4943284165,3.6647536008,3.2138119778,0.0110141751,1101
2.490101021,3.2775601592,1.9734833045,0.0563213765,2794
2.9898310998,3.6398233883,2.463072884,0.1170529569,1329
2.4462791464,3.5594795573,3.2029215467,0.039966611,969
2.8848742577,3.89115442,2.7490926685,0.0433852183,1307
1.960167013,2.240460386,2.0931435255,0,137
1.5241718605,3.2047753355,2.1024058995,0.0216409605,3884
1.6380436113,3.2413743849,2.4412607907,0.0713050042,1537
1.959359688,3.3861508581,2.0827760458,0.0247227113,1661
2.4198450647,3.5689975248,2.6363043592,0,816
2.1725674088,3.0425595466,2.61727884,0,360
2.1903920296,3.7150048098,2.4793204867,0,1583
2.6004114099,3.8852331556,3.0645351477,0.0132057983,1808
2.8806820189,3.128851589,2.5718443512,0,296
2.2546316399,3.1316275705,3.0231099389,0,83
2.7096857761,3.9898999063,3.1442303898,0.1234472496,1212
2.5816226679,3.9434179317,2.5300759097,0.0583751887,2888
1.7699257025,3.6133836748,2.3429158046,0.0345115101,1431
2.4994197674,3.7971551769,2.5226743212,0.04672709,1217
2.37429147,3.739934146,2.6190446627,0.1036241663,962
2.7004933558,3.5848536363,2.7045141454,0.0652514014,922
2.3146167605,3.2128879327,1.748561472,0.0308637769,1919
1.5814627431,1.8370382348,1.4377801671,0,400
2.447251594,2.7389964135,2.7623311985,0.2580186687,136
2.2840433227,2.6386661993,3.3094723971,0.140327271,155
2.2526099496,3.39589518,2.7090005391,0.2557123051,321
2.370479136,3.2938883136,2.6512865025,0.1259254263,1516
2.5160089376,3.3632216171,2.6508215446,0.0835636894,1093
2.0113960433,3.1436437169,2.5546028681,0,224
2.1711519877,3.6498590196,2.5215050272,0.0442994573,2103
2.2579920998,3.6250228818,2.9470230769,0.0316919051,665
2.1337048694,3.8755077,2.9004434709,0.0946220436,1566
2.38892984,3.4888442561,3.3165082333,0.2534662834,517
2.7026953381,4.2122139977,1.9031404908,0.0653741997,4675
2.7478715399,3.9620077036,3.0220922059,0.0557362963,2067
1.197415027,2.7169427872,1.3854436156,0.0785921577,2006
2.466144938,3.8052441903,2.6724706199,0.0390127799,1009
1.773935706,3.5560804149,2.2398493895,0.0132433102,3432
2.5025699205,3.314614888,2.0297783733,0.0431273413,1285
2.5876957663,3.5062295052,2.0275861294,0.069325651,1348
2.1540742905,2.7677752543,1.992493573,0,595
1.9169452988,3.347277523,2.2192980149,0.1401894583,849
2.0521817958,3.0464307233,2.3627364495,0.0289704773,390
1.3511717148,1.7644860481,1.4296522736,0.053226677,721
2.6501729199,3.3403022869,2.2230773269,0.0897727807,1064
2.8331612388,4.2357443525,2.6320275858,0.1367259896,1480
2.8403573267,3.9925491273,2.4833237106,0.0648369392,1861
2.8042450036,3.3706355468,2.9755616816,0.113970208,172
2.4986687009,3.843499622,2.7601266641,0.0279557126,758
1.933373632,3.1896265149,1.9816027552,0.0381018904,3505
2.2201068182,3.0315050966,2.3995794486,0.152305344,599
2.691850036,4.0099079479,2.0756535218,0.0396859447,2366
2.91993813,3.7068375053,2.7559117227,0.1859933838,990
2.0028081251,3.3967643537,1.9691511259,0.0252878528,6827
2.3858008617,3.9323460809,1.6725047156,0.0339875729,5121
2.9668896616,4.2363426412,2.3477473494,0.0462420036,2406
2.3437118934,3.8390543207,2.8432120013,0,286
3.1183859314,4.4986841662,3.22063935,0.0567551128,629
3.1339823559,3.9780711708,2.3662913335,0.0899816551,551
1.3223001674,2.7243766495,1.7217599935,0.0155323814,2842
2.8658471677,4.3483838666,2.5783668178,0.0515092957,3353
1.8349271347,3.0796602895,1.5573982208,0.0571949835,2837
1.6229783727,2.9618058211,1.5650708481,0.0319165357,5672
2.010116114,3.2638961966,2.3947387498,0.0945457817,1320
2.2073200841,3.354013954,2.3410406688,0.0996510168,953
2.470903745,3.9417796339,2.0409475294,0.0073853515,3319
2.6988601674,3.7048697393,2.0501430334,0.0573798783,651
1.7130210874,2.6796642232,2.3289317677,0.1259477638,402
2.3764250799,3.7337418186,2.6518420317,0.0474513249,1683
2.285287622,3.4779226598,2.5386692308,0,686
2.078742329,3.0827227318,2.0327475357,0.1664897856,512
2.1872235778,3.6186484748,2.092506519,0.0197818083,5338
2.0461471348,3.865871154,1.8411937405,0.0490437691,2598
2.5921243091,4.2263956552,2.6628824537,0.034821335,2792
2.9366101538,4.7218404892,2.6823895965,0.0522985598,8789
2.8979484098,4.5535731322,2.4457479094,0.0876436664,5084
2.9525055467,3.9483164379,2.6252400389,0,866
2.5640946058,3.7260188911,2.964634064,0.1321758596,1105
2.9911589656,4.3505826768,2.518321412,0.1060018369,2128
2.5608058718,4.2005452806,2.3365673991,0.0494988714,3661
3.4526842042,4.8557854851,2.5061548865,0.0779587499,2881
2.7878193656,4.6639271779,2.4508050275,0.0261880307,5366
2.9351760104,4.4759148016,2.6568523722,0.0237231331,2864
2.8191482392,4.0647020941,2.6375359908,0.0494759001,932
2.8520514525,3.5174293263,3.4555631275,0.0683545171,285
2.8518460107,4.2762786669,2.9616515486,0,2168
2.8659609618,4.0248389562,2.6836356603,0,1774
2.7100867771,3.2925226355,2.1612730697,0,919
2.9380415477,4.4930646009,3.0345346825,0,2914
1.9190761521,3.8398908845,2.1744415227,0,3217
3.3458227114,4.4698615426,3.096849052,0.1898716254,1275
3.457158455,4.0126080057,3.0870180208,0.232049926,792
3.4116882095,4.2709801693,2.8033613056,0.0731729113,1185
3.0521478046,4.1703401016,2.8135187642,0.0525419599,2022
2.8371724949,4.0200223384,2.4249345191,0.0209403648,2002
2.9938294952,4.6429354404,2.558135434,0.0482770232,4861
2.0498303596,4.0924999071,2.0982762116,0.0250599935,3134
2.8761021823,4.4335040084,2.4872849743,0.0466065958,2760
3.394547871,4.701083351,2.7850561536,0.0795209297,2196
3.1081006871,4.5820858977,2.319882415,0.1044570537,4455
2.6042796939,4.0160903485,2.2837420573,0.0286513588,2304
3.356175467,4.7031037762,2.9372341667,0.0224989064,1852
3.4070314594,4.9246693559,2.6525087439,0.0262601149,4965
2.7755296862,3.6710074111,2.5551782584,0.0679489216,1656
2.9874109294,4.1241272278,2.8159358505,0.072537183,738
2.915630407,3.4816211036,2.6428500274,0.1581223369,947
3.0371227365,4.4280227774,2.5868859835,0.0994026962,2185
2.3991191182,3.7322953661,2.6172012586,0.0187033181,1155
2.3151228126,3.8225621512,2.7762914143,0.0912511763,2016
2.5112625179,4.5113610528,2.5649336968,0.0145013839,6118
2.9464673971,4.1925300068,2.030994506,0.0665862101,6339
3.3385841747,5.1270736938,2.7123424615,0.0465389912,12233
3.1034262241,5.0818096956,2.8821390102,0.0527372163,9393
2.9650994131,4.5474152918,2.7245568075,0.0668214563,2665
2.3294837442,3.7614841392,2.0974710879,0.0253331343,6794
2.558776416,4.1338411024,2.9983560613,0.1217495434,1489
2.8917707466,4.4659940715,2.7542156007,0.0633904496,3942
3.1323712131,4.818133755,2.8355532623,0.0599708464,9897
3.1080722473,4.7166541576,2.569706517,0.0538071697,8517
2.7530040605,4.5750630672,2.7644230954,0.0130526406,3798
1.7969220378,4.603257683,2.0971421878,0,2177
3.1003352185,4.4613376694,3.131947699,0.0672533516,1789
2.9641181481,4.4766583127,2.6140793198,0.0220028372,7560
2.9492813287,4.6048844172,2.0148811874,0,6530
3.0621609414,4.7347465178,2.7062742267,0,5455
2.5596455408,4.2969531067,2.8446203167,0,3342
3.0020957979,4.2566839161,2.8653625293,0,1643
3.3425692732,4.7709182354,2.8506339426,0.0132672996,1810
2.7622731823,4.0020125803,2.9693336619,0.1262613592,704
2.4244861511,2.9830944092,2.0570922744,0.0601224489,631
2.6931883555,3.9490598287,3.3730975576,0.0888796957,719
1.8477436326,3.5708074732,1.9973203159,0.0460567285,3165
2.2291502441,3.6412291081,2.1240126053,0.0096343479,1240
3.1287331202,4.2888137553,2.6919833228,0.119281915,990
2.0685001017,2.9499295652,2.6461076236,0.1021580364,122
2.7522810807,4.2052371287,3.2872266524,0.0847496483,1189
2.4602470349,3.8796006459,2.5999903913,0.061328056,2240
1.6802801328,3.3142885501,2.3392621938,0.0325070123,2392
2.6988467265,4.2469001195,3.1410209184,0.1127489149,1525
2.7731500013,4.4897501434,3.3540787653,0.0785874633,1483
2.5339078224,4.1464704963,2.2202421803,0.0214203326,7300
2.5308629066,4.042516458,1.9487273162,0.0284709109,4220
2.6255946029,4.342092645,2.6033633009,0.040013285,3257
2.5742503511,4.3679311557,2.4590805971,0.0256414443,6289
2.1104949155,3.9064384524,1.8125946745,0.0115235834,7932
3.0055780778,4.2573232255,2.7699654542,0.0612669966,3581
3.0354551642,4.4837712809,2.8279582578,0.0490437691,1503
2.4585106908,4.0277467501,2.1646543093,0,1835
1.8342524466,3.4223378093,2.1516347907,0.0214719246,1934
3.1256754187,4.2559691792,2.7795055831,0.1660048643,914
3.0940541494,4.4035148005,3.1834801019,0.099700843,567
1.5811628099,3.2600987226,3.0718381474,0.036833893,804
1.41932896,2.7826062747,1.4865266898,0.0615002797,2233
1.3265746349,1.9107940655,1.4375623739,0,986
1.6092157914,3.0073941476,2.4140691417,0.042774599,863
1.1982947447,3.1173184914,1.7658082845,0.0226159768,3645
2.3336091402,4.050576799,2.710590904,0.0609075738,1995
1.6366311496,3.8246475695,1.6054394735,0.0240027138,2152
2.2080832891,4.0380076172,2.2939224393,0.069714333,1599
2.8065364805,3.8259348401,2.5084046614,0.0895164614,1765
0.9909019875,2.9902142471,0.9643197745,0,1723
1.8395808205,3.6632696442,2.2825761025,0,2388
2.9544726157,3.7886077794,2.7074273825,0,466
2.041905576,3.7516176022,2.2974276202,0,1395
1.9603842936,3.5319076907,2.0237826766,0,1624
2.683818829,4.130973043,2.143367318,0,2063
1.579065558,3.1371763147,2.4960325269,0.1085897207,1500
1.988046504,3.9447785893,1.8341884723,0.0382050182,1485
2.5153694755,3.953613591,2.3639966385,0.0305888527,1617
2.7937335196,3.9166332189,2.4659910577,0.10182803,785
2.3499440484,4.137512061,1.8088674708,0.0607510506,2584
2.2501190852,3.6743635234,2.7578445931,0.0873787017,1506
2.9828721212,4.3566869673,2.7675896713,0.139419261,3564
3.2658262326,4.4902335072,3.3227664843,0.157411263,2788
2.0276267869,2.5875488335,2.2364454661,0.0384035737,753
2.6516837035,4.3556959756,3.1449831393,0.0575022881,3349
