ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets,AtkOrNot
6.6547323285,8.4367043459,0.0897033898,0.1010670262,352,0
6.6289947886,8.4429434958,0,0,348,0
6.6289947886,8.431449243,0,0,348,0
6.618793691,7.8048923023,0,0,225,0
6.6144276283,7.5391588111,0,0,186,0
6.6428814673,8.5995520389,0,0,398,0
6.6667485449,8.6075581771,0.0806277699,0.0906028323,401,0
6.6428814673,8.6265743693,0,0,398,0
6.6424041077,8.617881847,0,0,397,0
6.6428814673,8.6315994949,0,0,398,0
6.6428814673,8.6215492437,0,0,398,0
6.6424041077,8.617881847,0,0,397,0
6.6671965295,8.6261760693,0.0804631365,0.0904133853,402,0
6.6424041077,8.6128440636,0,0,397,0
6.6428814673,8.6265743693,0,0,398,0
6.6424041077,8.6078062803,0,0,397,0
6.6428814673,8.6215492437,0,0,398,0
6.6428814673,8.6265743693,0,0,398,0
6.6667485449,8.6025706459,0.0806277699,0.0906028323,401,0
6.6428814673,8.6265743693,0,0,398,0
6.6428814673,8.6215492437,0,0,398,0
6.6424041077,8.6229196304,0,0,397,0
6.6428814673,8.6215492437,0,0,398,0
6.6428814673,8.6114989924,0,0,398,0
6.6667485449,8.6225207706,0.0806277699,0.0906028323,401,0
6.6401203033,8.6096078033,0,0,392,0
6.6424041077,8.6078062803,0,0,397,0
6.6424041077,8.6078062803,0,0,397,0
6.6428814673,8.6215492437,0,0,398,0
6.6428814673,8.6265743693,0,0,398,0
6.6667485449,8.6025706459,0.0806277699,0.0906028323,401,0
6.6428814673,8.6265743693,0,0,398,0
6.6428814673,8.6064738668,0,0,398,0
6.6428814673,8.6215492437,0,0,398,0
6.6424041077,8.617881847,0,0,397,0
6.6671965295,8.6162258205,0.0804631365,0.0904133853,402,0
6.6348847073,8.7772853836,0,0,447,0
6.6581075649,8.7770723151,0.0731996621,0.0820688417,451,0
6.6348847073,8.7951824753,0,0,447,0
6.6348831694,8.7784783753,0,0,446,0
6.6348847073,8.7907082024,0,0,447,0
6.6348847073,8.7772853836,0,0,447,0
6.6348847073,8.7862339295,0,0,447,0
6.6581075649,8.7682031355,0.0731996621,0.0820688417,451,0
6.6348847073,8.7800708702,0,0,447,0
6.6340658421,8.7829626802,0,0,446,0
6.6348847073,8.7951824753,0,0,447,0
6.6348831694,8.7695097654,0,0,446,0
6.6573189917,8.7871145246,0.0733337349,0.0822226237,450,0
6.6348847073,8.7907082024,0,0,447,0
6.6348847073,8.7951824753,0,0,447,0
6.6348831694,8.7695097654,0,0,446,0
6.6348847073,8.7951824753,0,0,447,0
6.6573189917,8.7782256357,0.0733337349,0.0822226237,450,0
6.6348847073,8.7907082024,0,0,447,0
6.6348847073,8.7638625648,0,0,447,0
6.6348847073,8.7907082024,0,0,447,0
6.6348847073,8.7772853836,0,0,447,0
6.6348847073,8.7951824753,0,0,447,0
6.6573189917,8.7648923023,0.0733337349,0.0822226237,450,0
6.6348831694,8.7650254605,0,0,446,0
6.6348847073,8.7862339295,0,0,447,0
6.6348847073,8.7996567483,0,0,447,0
6.6348847073,8.7772853836,0,0,447,0
6.6581075649,8.7948106743,0.0731996621,0.0820688417,451,0
6.6348847073,8.7996567483,0,0,447,0
6.6348847073,8.7907082024,0,0,447,0
1,1.5612781245,0.8112781245,0.5435644432,8,
1,1,0,0,8,
1,1,0,0,8,
1,1.5219280949,0.7219280949,0.4689955936,10,
1,1,0,0,6,
1,1,0,0,8,
1,1,0,0,8,
1,1,0,0,2,
3.1699250014,0,0,0,18,
0,4.8579809951,0,0,29,
0.1485494904,5.5120356602,0.1485494904,0.1485494904,47,
0,4.3923174228,0,0,21,
0,5.672425342,0,0,51,
0,4.1699250014,0,0,18,
0.2108423003,5.8735572623,0.3323117488,0.3323117488,60,
0.353359335,3.9068905956,0.353359335,0.353359335,15,
0,5.91378786,0,0,63,
0,3.8073549221,0,0,14,
0.2055925082,5.9219382459,0.2055925082,0.2055925082,62,
2.3982248122,2.3767853541,2.3982248122,0,41,
4.354977533,1.7584499002,5.5109535457,0,502,
4.547774327,0.7939116303,5.5781921634,0.0706666491,353,
4.4662607665,1.3064018633,6.6145801282,0.0337672508,568,
4.3009021318,0.8495238406,6.6839654976,0.0270141339,369,
3.1813970346,1.7264923146,6.5274316544,0.182792905,433,
2.3323398553,0.2587787539,7.0427460471,0.045478427,599,
1.9013572236,1.2250346134,6.9777007384,0.019924414,526,
1.477603994,0.2682850937,7.2216659347,0.0206717118,504,
1.3136760874,1.5095266038,6.7273836001,0.0882324696,449,
1.6913570563,0.3782075457,6.9047002827,0.0659144123,384,
2.1901856864,1.8079835825,5.8111859532,0.0516649883,343,
2.0177356392,0.8305942232,5.1574163566,0.1074037701,141,
1.7261764038,3.9029199884,3.4469591049,0.2272565642,136,
2.8764498143,1.2513912701,5.1584345162,0.0613737133,279,
3.241335877,1.7531394864,6.7461915649,0.0168635994,638,
2.6632713833,0.7422312061,7.4785115391,0.0706997272,588,
2.3243039537,1.1262662228,7.064594711,0.0437049452,628,
1.7678422534,0.4523375972,7.8646531377,0.0272351498,731,
0.8591234751,0.1931783171,7.7412717501,0.0175813083,608,
1.1554434785,1.4477559826,6.9407588375,0.069172538,483,
1.2398137798,0.1576605125,6.5406401521,0.1007981449,305,
1.437436203,2.2244558559,5.7610779019,0.0285411458,346,
0.9297530806,0.0408196525,6.0531377052,0.0408196525,227,
2.3245303932,1.4935997765,6.2481018701,0,520,
1.1665255296,0,5.937032708,0,212,
1.6185510727,3.3961064139,4.0200120322,0.0454146923,200,
3.0996098728,0.4014878747,5.1333111348,0.1021580364,150,
1.0129224713,5.5011924487,1.6253598413,0,96,
2.8514222898,0.5254506799,3.9924219736,0,59,
0.3725372836,6.205034755,0.3725372836,0,77,
0,0,0,0,2,
0.2705124524,6.2244421227,0.2705124524,0,78,
0,0,0,0,2,
0.3620512517,5.7200499606,0.5548812694,0.1256580502,58,
0.3712323266,3.8073549221,0.7345299214,0.3712323266,14,
0,5.8579809951,0,0,58,
0,3.5849625007,0,0,12,
0.5411730853,5.8185497648,0.6046651488,0,63,
2.7664200081,1.5224626618,3.3548028232,0,60,
0,5.8826430494,0,0,59,
3.0187035138,0.6305941785,4.1134101458,0.2386845114,51,
0,6.1898245589,0,0,73,
0,3.4594316186,0,0,11,
0.3335220039,5.89929089,0.3834468116,0,65,
1.1033074086,3.3735572623,1.2366407419,0,15,
0,5.9772799235,0,0,63,
0,3.4594316186,0,0,11,
0.1161150753,6,0.1161150753,0,64,
