ent_ip_src,total_packets
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060412122,0.0240178023
0.0060478038,0.0241712707
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0097069806,0.0244014733
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.009660217,0.0243247391
0.0060412122,0.0240178023
0.0060918039,0.0240945365
0.0060478038,0.0241712707
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060918039,0.0240945365
0.0060412122,0.0240178023
0.0060412122,0.0240178023
0.0085634353,0.0217157766
0,0.0037599754
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0059895663,0.0052179251
0.0012917281,0.0048342541
0.0013154312,0.0049109883
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0013154312,0.0049109883
0.0059698004,0.0051411909
0.0013154312,0.0049109883
0.0039252522,0.0018416206
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0059698004,0.0051411909
0.0012917281,0.0048342541
0.0013154312,0.0049109883
0.0012917281,0.0048342541
0.0013154312,0.0049109883
0.0059698004,0.0051411909
0.0012917281,0.0048342541
0.0012917281,0.0048342541
0.0103567084,0.0089779006
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0103567084,0.0089779006
0.0059431293,0.0086709638
0.0057961191,0.0085942296
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0103567084,0.0089779006
0.0059431293,0.0086709638
0.0057961191,0.0085942296
0.0059431293,0.0086709638
0.0103567084,0.0089779006
0.0057961191,0.0085942296
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0057961191,0.0085942296
0.0102158042,0.0089011664
0.0059431293,0.0086709638
0.0057961191,0.0085942296
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0103567084,0.0089779006
0.0059431293,0.0086709638
0.0057961191,0.0085942296
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0059431293,0.0086709638
0.0100765734,0.0088244322
0.0036482568,0.0124309392
0.0036546651,0.0125076734
0.0036482568,0.0124309392
0.0078800846,0.012737876
0.0036546651,0.0125076734
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0036546651,0.0125076734
0.0078800846,0.012737876
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0036546651,0.0125076734
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0078821011,0.0128146102
0.0036482568,0.0124309392
0.003643776,0.012354205
0.003643776,0.012354205
0.0036546651,0.0125076734
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0078800846,0.012737876
0.0036482568,0.0124309392
0.0036546651,0.0125076734
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0036546651,0.0125076734
0.0078800846,0.012737876
0.0036482568,0.0124309392
0.0036482568,0.0124309392
0.0019709679,0.0029926335
0.0012530895,0
0.0059315377,0.0162676489
0.0098558197,0.0164978514
0.0059315377,0.0162676489
0.0058530491,0.0161909147
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0058530491,0.0161909147
0.0099294784,0.0165745856
0.0058530491,0.0161909147
0.0059315377,0.0162676489
0.0058530491,0.0161909147
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0098558197,0.0164978514
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0058530491,0.0161909147
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0098558197,0.0164978514
0.0054775405,0.0158072437
0.0058530491,0.0161909147
0.0058530491,0.0161909147
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0098558197,0.0164978514
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0059315377,0.0162676489
0.0058530491,0.0161909147
0.0099294784,0.0165745856
0.0046166913,0.0200276243
0.0084350491,0.0203345611
0.0046166913,0.0200276243
0.0046164384,0.0199508901
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0084350491,0.0203345611
0.0046166913,0.0200276243
0.0044820515,0.0199508901
0.0046166913,0.0200276243
0.0046164384,0.0199508901
0.00830539,0.0202578269
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046164384,0.0199508901
0.0046166913,0.0200276243
0.00830539,0.0202578269
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.00830539,0.0202578269
0.0046164384,0.0199508901
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0046166913,0.0200276243
0.0084350491,0.0203345611
0.0046166913,0.0200276243
0.0046166913,0.0200276243
